Ref,Val,Package,PosX,PosY,Rot,Side
"R20","1k","R_0402_1005Metric",140.800000,-79.700000,-90.000000,top
"R21","10k","R_0402_1005Metric",135.300000,-105.100000,-90.000000,top
"R22","1k","R_0402_1005Metric",158.850000,-89.890000,90.000000,top
"SW1","SW_Push","SW_SPST_PTS647_Sx38",130.300000,-105.100000,0.000000,top
"SW2","SW_DIP_x04","SW_DIP_SPSTx04_Slide_Omron_A6S-410x_W8.9mm_P2.54mm",112.600000,-85.400000,0.000000,top
"SW3","SW_Push","SW_SPST_PTS647_Sx38",157.250000,-84.900000,-90.000000,top
"U1","W25Q32JVSS","SOIC-8_5.3x5.3mm_P1.27mm",130.300000,-99.200000,180.000000,top
"U2","NUP2202","SOT-363_SC-70-6",175.050000,-111.250000,-90.000000,top
"U3","RP2350","QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm",138.950000,-90.600000,90.000000,top
"U4","LM4040C33FTA","SOT-23",126.600000,-82.990000,-90.000000,top
"U5","LM66100DCK","SOT-363_SC-70-6",151.865000,-113.800000,90.000000,top
"U6","AOZ1280CI","SOT-23-6",152.362500,-108.200000,0.000000,top
"U7","LM66100DCK","SOT-363_SC-70-6",157.000000,-113.800000,90.000000,top
"U8","MCP4728","MSOP-10_3x3mm_P0.5mm",112.000000,-105.600000,180.000000,top
"U9","TCR2EE11","SOT-553",124.287500,-86.650000,0.000000,top
"Y1","12Mhz","Crystal_SMD_Abracon_ABM8-272-T3-4Pin_3.2x2.5mm",147.600000,-91.000000,0.000000,top
